[884.309] だいこん_: 2回ｗ
[884.549] one596: 大学生かよw
[884.572] (S)monpiipop: 若いなw
[884.867] (S)日本語かな: ２回！？
[885.019] 眠味深次郎: LUL
[885.056] 再度落選の大統領マルモリ: 塩分やばそう
[885.238] Norsest: やりすぎだろw
[885.483] DancingSheep1119: ちっちぇえええｗｗｗｗ
[885.497] (S)yukikaze083: ｗｗｗ
[885.534] sh1zuku716: 貧乏生活みたいｗ
[886.129] heijitusan: w
[886.440] momochan6: やりすぎだろｗｗ
[886.887] (S)今井みどり: 2回！？
[887.510] bulikids: 大学生かよwww
[887.589] よるねこ族: 飽きるだろ
[887.981] (S)ogawa3: 二回w
[890.070] 5don: 偏食（マジ）
[890.375] omochi09: 若いんじゃｗ
[890.434] weeep1: 坂本変わんねえなほんまｗ
[890.498] マイネームイズアキラックス: 塩分やばそう
[891.672] くろさん777: 終わってるｗ
[892.167] teruharu_: ｗｗ
[893.009] 是ヒ: サラダあるならいいんかなあw
[893.100] とも8はる: 偏食が過ぎる
[893.408] (S)kakutora_no_o: 絶対にうまいけど体にはすこぶる悪そうww
[895.600] xxtidorixx: 人間ドックいったら完走してそう
[895.734] sh1zuku716: え
[896.426] gengoro1198: やべえw
[896.617] rihigas: 異変起こるて
[896.738] (S)ogawa3: やばいってw
[896.966] (S)sugata128: なんでまともな食事とらんのやろ……
[896.986] ババシャツ: ｗｗ
[897.010] tama_zx61: いいの？ｗ
[897.870] zyangara2: これ、”逝き”ます
[897.920] maya_g01: すこぶる
[898.556] (S)今井みどり: 健康診断ヤバそう
[898.619] れく太: 40の飯なのか？ｗ
[899.929] (S)potesaraudon: ほー
[900.264] Qtr1214: 苦学生の食事w
[900.480] 5don: 健康…!?
[901.315] だいこん_: ほんまか？
[901.380] nfsb3ui: 金欠の大学生かよ
[903.584] feel2525: 塩分！
[904.768] momochan6: 健康とは
[904.934] のぞみくん: 健康……
[906.134] (S)ゲーミングらいおん: 内蔵強すぎる
[906.378] (S)firefly860130: 栄養バランス悪そう
[906.532] hs19840706: 筋トレ飯
