[96.189] (S)special_moriman: まんこ！？
[96.676] softmaxb: えど
[96.715] yayayakn: 今日こそはマリオですか？？？？
[96.829] kqreh: CRカップでますか？
[96.881] kiriboshi_daikon315: えっど
[96.901] 中田にこち: くらーらの配信から！
[97.539] satosinners: batoraValo
[97.748] kuma_sv: 加藤純一英雄団さん流石ですね
[98.208] nezar777777: うんこちゃんはじ...えーっと...いつもっ...昔から...あのー...あのっ...パワポケ8のときからほんとに...あの〜...見させてｲﾀﾀﾞｲﾃ......
[98.218] eraiyona123: 海星くららさん荒らしてました
[98.418] akai_aodori: いつになったらゲームするの？
[98.577] ejejm: あらら
[98.635] makou2023: なんでネジキやめたの？
[98.814] batora_no1_happiest: まさか結婚するとはな‼️‼️子供の名前どうすんだ！？
[99.489] ふじぱん_: 体調どう？
[99.628] ~MISSING_COMMENTER_INFO~: バトラ黒歴史増えたのおめでとう
[99.650] 25pori: あれ？加藤さんの前だとあんなに喋んないのにびっくりした
[99.962] unununchiwww: えっど
[100.559] (S)きおおお: スイッチ後継機楽しみだな
[100.716] xocsn: 「いい夢見れそう」←これ何？
[100.902] elmochaan: FallWinning
[100.950] (S)oshibechan: むらまこから
[101.772] 大作先生: もしかしてお前って人気者？
[101.822] (S)サかね: ね
[102.359] ぷぷぷっち: ｸﾁｭ
[103.780] 食券です: 今日は 
[103.829] otarunozakiyama: バトラ頼むネジキ見せてくれ🙏
[103.839] (S)イモトです: しゃぶってる音えっど
[104.441] batoneyazof: かたあげポテト買ったか？
[104.661] ぺぺ2: たのしみ
[104.665] minato56m: 楽しみ
[104.680] mutyauma: たのしみ
[104.720] (S)冬樹雛: よおバー坊
[104.848] 追放されて反転囲い: 感想言えや
[105.510] MRIAKINR4444: ミートボールたのむ
[105.773] (S)わんぱく: 海星くららから
[106.203] kazupiro: ね
[106.479] itsukoya: スト6CRカップで使うキャラもう決めた？ 
[106.613] (S)魑魑魑魑: 加藤さんがすだち軍団に加わったって本当？
[107.407] (S)gaffeK98: 頼む、ヴァロやるときはバトラを名乗らないでくれ
[107.442] (S)なるくん: Switch後継機発表ということでティアキンそろそろじゃないのか？
[107.764] 八朔屋: Xのブロック解除してください！！悪口言ってごめんなさい！！
[107.899] uoxou_zzz: んね
[107.987] (S)minami_oct: たのしみだな
[108.281] zundoko: くっちゃくっちゃ
[108.473] (S)kk_fff: 今期っていつまでなん
[108.621] sasak8: 楽しかった？
[108.696] 山田亮介: むらまこには触れないよ
