[1548.322] metoro3: umeCatGlare
[1551.794] qko0: umeYay
[1558.509] (S)イルソイル: umeYung
[1560.455] omegazwalt: ハンガビー自体は前から強かったけどEXナイトロの強化がやばい
[1560.892] (S)redbull_daisuki: アビの声がうるせぇw
[1562.733] slipperynip: bakagail 
[1563.174] asseternum1: @menma1993 tires
[1563.678] jigokunonekomatu: アビつよ
[1565.002] mohumonn120: umeSnooze
[1580.358] ShMashiro: PogChamp
[1583.733] keydashonline: nicee!
[1585.378] (S)dsadsa454654: umeGrin_HF
[1585.699] Raynys: rekt
[1585.889] vainamo1: ウメちゃんこんばんは！！！！！！
[1588.573] (S)FENR1SWOLF: Lord Daigo beasting 
[1589.550] menma1993: that's run ex look buffed
[1590.476] あずき3: umeSnooze
[1592.739] mohumonn120: umeStretch
[1592.833] shupii097: スキル２じゃないんだね
[1592.960] Silverink: stick now?
[1596.025] domontyan: 開始一週間足らずでこの強さ
[1596.931] Virg12: @GojiraLink waking up to lucky charms PepeHands
[1599.322] asseternum1: yup
[1601.027] (S)たあぼ0126: ウメちゃんこんばんは
[1601.469] kamisimeru: 小K投げ！
[1603.384] lutz001: またアビラシエディションなの・・・？
[1603.741] あと1983: 華麗だ、
[1606.750] kidcomb0: Run ex did get buffed
[1607.392] bigkirk: he has crazy corner carry with ex nitro charge, and he has a tire
[1608.307] domontyan: きちい
[1609.476] rhayader_alone: えげつない
