[2585.599] ekuru0083: これ良いなっていう人はじめてみたわｗ
[2587.569] vesitermbtl: お目が高い
[2593.743] omedetroit: 昨日酒飲んでたから２０歳やね
[2594.713] unbrean: 高みボタン使わず
[2600.349] kona_kun0530: ２０歳なんかm
[2601.936] magemon2: ウメリュウとやって、処理したれ
[2606.236] kbti: いいんですかｗ
[2626.803] (B)(S)DaigoTheBeasTV: FT5
[2637.112] (B)(S)DaigoTheBeasTV: John says Ryu vs Chun is a really rare match in Season 2
[2637.779] xanadu_x1: それ太ってるヤツだからアカン
[2640.378] tas0142: リュウにしかできないのはCAでスタンか
[2642.557] ganva: ウメリュウとヌキ春麗
[2642.905] imurilove: 部屋にジョジョとリュウのでかいポスター貼ってるんだっけ
[2644.558] mikan_otoko: S1で良くみたね
[2645.225] momiji4431: ウメヌキ
[2677.837] Kanquez05: たしかに久しく見てない組み合わせ
[2678.057] (M)Moobot: English Facebook Page Here! Follow for News/Updates. - https://www.facebook.com/ARIKAOfficial/
