[399.979] one596: おもちゃ追加された感覚
[400.784] rakuari: 帰国はいつの予定ですか?
[401.269] johnny515151: ラッシュが弱いのが致命的かもしれません
[401.460] kahaku91: リュウ史上最強の竜
[402.884] 一1990: 弱いって言ってるのはエアプです
[403.079] toki0823: ロマンキャラ
[403.594] umao210: 豪鬼の方が強いですよ
[403.669] shellfish55: 最弱→弱キャラになった
[403.738] tetsujigon: コンボの火力は凄そう
[403.745] blackcoffee0821: リュウ使いおらんか
[404.594] wrwig: Bランクくらい
[405.555] 36mgh: Bはあるよ
[405.673] matoo0777: 立ち回りは相変わらずきつい
[405.911] nanomentos: 翔くんもつかってたけど、強化はされてるけど驚くほどって感じじゃなかったね
[406.726] 蝉時雨: 豪鬼までの繋ぎとしては楽しめると思う
[407.409] てべす1103: 夢はある
[409.228] gb_niconico: イケメンが写っとる!こんばんわ
[409.258] きゃすさん: エドはむずかしい
[410.387] kuroad00: OD波掌はシミー大パンから狙えるから使い所はありそうだった
[412.339] Jam10505: エドくっそむずい
[412.752] tankbba146: でもマゴさんがウメハラは使うんじゃないか？って言ってた
[413.551] (S)noriyuki3: マゴさんはBクラスに昇格って言ってた
[413.614] まめっ子: 難しい
[413.729] きしー: 難しそう
[413.938] ゴン攻め: エドむっずい
[414.016] nameless_774: エドおもろいけどむずいねえ
[414.447] 日本語かな: エドおもろそうよ
[414.739] 36mgh: エドはモダンが良くてクラシックはかなりムズイ
[414.794] yuyu09250925: yuyu09250925 subscribed with Prime. They've subscribed for 52 months! こんばんは！
[416.087] xdfwjfpf: エドはわからんなぁ
[416.207] mugicha_games: エドはちょっと、、、
[416.310] lucky7404: エドむずくて良くわからん
[416.573] rachel_hakumen: マゴさんは7000にとりつかれた
[416.815] たる侍: EDは強いけどむずい
[417.370] aranami0: エドくっそムズいっす
[418.093] wrwig: エドはラシードと同じくらい
[419.127] pyracanthaoi: 面白い
[419.324] (S)화랑잘해지고싶다: エド強そうですけぢむずいです
[419.341] (S)kamiya1979: くそむずい
[419.523] tobi_6666: エドかっこいい
[419.557] usa451: エド使う気まんまんだったのか
[419.751] ガヤン0521: リュウはカプコンが弱いって認めたから本調整で大分あがりそう
[419.767] one596: エドはクソむずくてまだまだ評価わからん
[420.148] poyoyon915: エドは面白い
[420.393] yut7xot8: エドはおもしろいです
[420.823] matoo0777: エドは微妙
[421.159] uni_ikura_: エドとリュウ同じくらいじゃないの
[421.358] ajipon_00: エドは弱く無いけど強くも無い
[421.366] tankbba146: エドよりはリュウのが強いんじゃね？
[421.475] まめっ子: エドはなぁ
[421.484] syun_p_: エド難しいらしいです(;ﾟﾜﾟ)
[421.553] (S)木佐0079: 弾打てるマリーザって誰かが言ってたな
[421.555] てべす1103: 難しさに見合ってない強さやね
[421.741] berurusuko: エドはむずすぎる
[422.305] happasan44: エドは難しくてまだわかってない
[422.749] (S)firefly860130: むずい
