[2930.273] nayah_841: なぜ空中ガードしたら反角ないんですか？伝統？
[2933.796] shang_high67: 無料で無敵
[2936.279] tosihumi777: エンさんわかるぅ〜〜
[2938.805] trick0918: ソルバッドガイ
[2939.958] (S)nasu5217: どこかの悪い男が全て持ってる
[2943.584] yotsubato_xx: ウルトラマン
[2955.952] ぬーーん: ソルカイチップレオシンとか
[2960.752] trick0918: ウルトラマンはなにw
[2962.862] サィ: バクステ追加はあまり使ってないイメージなんですが、微妙なんですかね？
[2968.033] nyanzer3839: ミカド動画でずっとエン
[2977.771] tosihumi777: エンさんのスレイヤーは格好良かった
[2986.711] sirokuroJP: 今作、無敵マッパできますか？
[3006.521] tosihumi777: 七夕さんわかるぅ〜〜
[3013.754] shoji_jou: でもバクステ追加でユニバースしたとき最高や
[3016.752] trick0918: てぃーわいさんやってくれるんかな
[3027.555] juki_gb0122: メンツがすでにめちゃ懐かしい
[3032.711] ぷーむん: TYさんやる気に満ちてる
[3038.727] trick0918: まあ確かに
[3049.460] shoji_jou: しかもおもろいし
[3054.039] nyanzer3839: LOXさんも一生コンボあげてる
[3056.236] supermonkeytm: ギルティ勢特有のキャラ愛
[3058.205] りっけです: さっきやってた近SCHダストのコンボ2S抜いたほうが簡単だと思います。
[3062.613] otddd: ギルティの人って他の格ゲーの人に比べてキャラ愛強い人多いよね
[3064.870] tosihumi777: スレイヤー使い手多いですもんね
[3067.162] (S)raincoat214: 今更だけど曲が今回もよすぎ
[3084.349] (S)ふうかさあ: ギルティ勢的にシーズン４で過去キャラ追加されたほうが嬉しい？それとも新キャラ？
[3089.982] anemoi_thyellai: とゆうか開拓の進み方的に最強キャラになってもおかしくない
[3096.088] (S)鉄板: 今回のスレイヤーめっちゃ面白いからなぁ
[3097.057] 雨傘あまね: このゲームって結構パッドだと難しそうですか？
[3097.279] juki_gb0122: 最近の新キャラパッとしないの多かったから久々に楽しいキャラきて嬉しいよ
