[526.730] (S)がすいんニキ: ファンガールもいる...だと...?
[526.832] 毛むくじゃらのコリー: ぺぺさんありがとうな
[527.086] intaisita: なるまご！？
[528.368] SuperMaguro: ファン爆廻？
[528.572] (S)だぼあぜ: ゆけーーーーーい！
[528.783] (S)白岳: マゴの棒
[529.861] noboooooooooru: マゴさんのファンな
[530.676] mappy111: 酔拳使いか？
[531.022] osirisirii: 売れちまったな
[531.111] 趣味垢0817: これ持ってるの誰？
[531.277] m1s4m0: ぺぺさん？
[532.249] kiruke2012: 売れちまったなああ
[533.012] (S)guntose: マゴさんありがとー
[533.767] あきがクラ: ファンえぐ
[535.591] ocelotnotaisho: 右のファンボ見たことあるな
[536.028] sunu_p: なるマゴまじ？
[536.672] みはる_雨月: なるちゃんの周り、女性が多いみたいヨ
[536.805] 77777gin77777: なるまごはあつい
[538.627] 山もっちゃん: まごぼ
[538.710] (S)ケツ洗い坂48: プレッシャーやべぇ
[539.242] サカザキ: なる×マゴ
[539.465] moritakaduyosi_aka_tamori: マゴボ
[539.950] echoesact48: なるガールすげえ
[540.368] ma0max: アイドルじゃんねぇ
[541.100] SUGAKIYA: なるマゴ！？
[541.742] ライム_: なかやん埋もれとるｗｗｗ
[542.546] (S)ありがたかし: なるまご！？
[542.887] (S)bwjwkkk: この持ってるやつ失礼やな
[543.957] ヘボヤマ: え、まごさんとやるんっすか？
[544.379] light0909x: これみんななるおふぁん？
[544.583] (S)やくりのやっさん: なるマゴてぇてぇ
[545.755] (S)04popoo: なるマゴは強い
[549.093] guest324438: なるおに何故か仕事を振ってくれるぺぺさん
[551.262] 添加物: 今来たけど野試合？
[553.550] m1s4m0: マゴさんはすでにぬけてます
[555.694] morimorione: うわぁ！？
[556.511] (S)たんや王: マゴさんって勝ち上がってるの？明日？
