[861.179] ギガゾンビ: 横タメで対空にもなるってすげーよ
[861.231] beru711: 草
[862.043] hoemin247: wwww
[863.196] (S)ジャスパ単騎待ち: スト4始めた時百貫対処できなくて煽りメッセ来たんだが？
[863.495] tsubame0614: いたなｗｗｗ
[865.890] (S)のうみそきんにくん: ｗｗｗｗｗ
[866.657] tatsu0000: hameo100kan
[870.186] (S)olka_kakuge: ハメオマゴの印象が
[870.436] (S)もじゃ変人: なっつ
[874.681] (S)iivkyv: コパ張り手もウザかったぞ
[875.697] ライム_: 硬派な本田使い誰？
[877.431] kyoshin1010: あきもさんとか渋い系本田だったよね
[877.615] (S)みなぷ080821_: この前のひぐちさんの3DS版本田はとてもはっちゃけてた
[878.005] camage0117: げんじん
[878.121] がすいんニキ: 懐かしいなぁ
[878.805] あちゃの: ウル４になるまえはEX頭突きの確定なかったよな
[883.090] chujoe1101: マゴさんのオーマイゴッド動画あったな
[885.014] TROI_Just: そういや４の時の百貫ってブレイク技だっけ？
[888.966] (S)ynoyeu: 今の本田の派手なお祭り感好き
[897.205] (S)もじゃ変人: しらね 本田
[906.769] ダルおじ: ひぐちの３DSの本田戦はおもろすぎた
[907.263] (S)olka_kakuge: わがんね
[908.035] (S)たけお926: アーマーかな
[908.720] kyoshin1010: 対空無敵は弱頭突きにあったしか覚えてねぇ
[911.458] chujoe1101: 百貫に無敵あったのしか知らね
[912.270] (S)毒見ユッケ: 頭突きからコマ投げでゲージ回収してたのしか覚えてない
[920.486] sndkzfm1: ひかるくん気合い入ってるな
[921.521] (S)おじいちゃんー: いろいろシビアだった記憶しかない
[921.809] nakamurahima: くそつよいな。って見てたけどひかるくんか
[925.259] がすいんニキ: スト５の本田存在感なさ過ぎて忘れた
[926.665] (S)ごまたまご: naru04Sa1
[930.838] (S)たけお926: そもそもスト4で本田がレアなキャラだった
[932.106] いつほし: naru04Sa1
[935.596] beru711: スト5の本田は真面目？
[936.887] (S)lovepeace369: naru04Ohayu
[942.337] TROI_Just: ４の時の連打技って全部強かったけど、むずかったよね
[948.670] (S)olka_kakuge: 4はガイルも存在感なかったしなー
[950.863] kyoshin1010: 張り手むずかったよな
[952.153] ramune_since1973: 最後に仕上げ
[954.780] sndkzfm1: 真面目な本田なんているんか
[955.133] (S)もじゃ変人: ブランカの電気とかね
[957.223] ダルおじ: ひかるくん強化前からこれってどうなっちまうんだ
[958.879] フィン1115: おーす妖怪デカキンたまTV
[964.168] (S)ynoyeu: エドの123みたいな感じか
[964.953] (S)むっこ65: 5個目のボタンの強度で出るんよな
[965.688] sndkzfm1: ぴょこぴょこ張り手
[966.309] (S)kajiwarasan: 連打キャラ使えなかったわ
[967.670] (S)もじゃ変人: あれまじむずい
[971.654] (S)asayake_cider: naru04Ohayu
[971.953] chujoe1101: 弱中強P順番に連打して押すんだっけ？
[972.147] kyoshin1010: 5回だったかも
[974.714] 毛むくじゃらのコリー: パッドが終わってた
[974.830] urabely: 連打とレバガチャは悪しき文化
[975.378] なっつ: へえ
[977.231] (S)たけお926: 5回だね
[978.657] sndkzfm1: 連打廃止して正解
[979.034] TROI_Just: ５回で５回目の技が出る
[980.094] (S)毒見ユッケ: 色んな出し方があったね
[980.181] ono_175: ケンの新昇竜もそう
[982.670] ダルおじ: パッドで連打出るんか？
[982.881] helmet_man0611: 今連打じゃないんだ
[983.705] NoE_vivre: ずらしでトトトンとね
[983.936] (S)マラリンティウス: ピアノ押しな
[985.085] ギガゾンビ: 連打コマンド消したの英断だよ
[985.326] (S)neonkzsyou: むっず
[985.722] kyoshin1010: EX張り手とかめっちゃめんどくさかった
[985.957] tukune51: 6って連打じゃないのかｗ
[986.446] ham256: 最後に押したボタンで変わるんだけ
[988.059] puyo2007: 大変だな
[989.189] nakamurahima: 昔の格ゲーの悪いとこだよな
[992.140] tondol: むっず
[993.417] nappamatei: 連打はパッド無理やからなぁ
[994.801] (S)たけお926: スライド押しして最後のボタンで使い分けるとかだったはず
[995.141] (S)もじゃ変人: コマンドにしたのまじでよかったよね
[1000.628] (S)ジャスパ単騎待ち: スト4の春麗激ムズコンボ人間辞めてる難易度じゃなかった？
[1002.813] sndkzfm1: さすがに令和に連打は無い
[1003.069] くまたく: ニシキンさんは溜めながら撃てるから連打の方が良かったとのこと
[1006.849] saibabasan: 連打たのしいんだけどなあ
[1008.413] (S)Commoncon: 連打音バチバチうるさそう
[1008.515] chujoe1101: ゲーセンのボタン壊れるしなあ
[1009.201] tukune51: 5触ってないからわかんねｗ
[1010.240] kyoshin1010: 5は連打かコマンド両方出せるはず
[1011.494] (S)olka_kakuge: パッドだと連打きつそう
[1012.531] (S)もじゃ変人: スト６
[1013.282] manifu_: まつりちゃんのコンボすごかったよな
[1015.151] (S)みなぷ080821_: ラシードとかは連打あったんだよね
[1015.667] (S)毒見ユッケ: ダルのテレポももう昇竜じゃないんだよ
[1015.788] sasanbo1: 春麗の百裂コンボはすごかった
[1019.020] がすいんニキ: 春麗連打もコマンドも出来てた
[1021.510] (S)maddy2623: ミキプルーン！
[1022.169] ダルおじ: やっぱ連打無理か パッドでやってほしいだろうから消したのかな
[1025.135] (S)メラミングミ: naru04Ohayu
[1035.254] nakamurahima: ソルのグランドヴァイパー？だっけかのレバガチャとかまじでくだらなかった
[1043.999] 超ゲジゲジ: とんおり一生ミスってね？
[1047.033] sndkzfm1: レバガチャも無いでしょ
[1053.234] (S)yukarachi: ばわっす❗
[1054.128] (S)るとらいと: るとらいと subscribed with Prime. 
[1056.933] はっぴーたいむ: 投げも連打な時代もありましたな
[1066.540] hoemin247: 連打とレバガチャは本当嫌いだった
[1070.199] (S)まるたにこふ: 真空ずっと嫌い
[1071.950] (S)maddy2623: 波動3つ同時でよくない？
[1071.986] lll3939: 波動に３つボタンでいいよな
[1072.670] (S)olka_kakuge: 気絶レバガチャ無駄に伝統だったなぁ
[1073.912] ダルおじ: 今のスタンってレバガチャ効くんだっけ？
[1076.291] kyoshin1010: 波動拳パンチ3つとかにするか
[1077.861] うーたんんんっ: なんで？
[1078.352] (S)毒見ユッケ: 諸説あるね
[1081.841] sasanbo1: 昔は棒でやること前提だったしな コントローラー向けにアジャストしてる
[1084.636] chujoe1101: ウメちゃんの鬼首捻り必死で連打してる人の話好き
[1086.079] (S)TNTNBRN: 伝統 伝統
[1091.166] ono_175: 最近思うけどヴィーハトってハメじゃね？
[1091.540] (S)むっこ65: そこじゃない感あるよね
[1093.505] 猫神寝猫: 連打ってそもそもコマンド難しい人向けのシステムって見た気がするけどコマンドの方が楽なの？
